Informazioni cronologiche,INSERT YOUR PARTICIPANT CODE,Insert your gender,Insert your age,Insert your home country,Insert your actual country,I... [Am the life of the party.],I... [Feel little concern for others.],I... [Am always prepared.],I... [Get stressed out easily.],I... [Have a rich vocabulary.],I... [Don't talk a lot.],I... [Am interested in people.],I... [Leave my belongings around.],I... [Am relaxed most of the time.],I... [Have difficulty understanding abstract ideas.],I... [Feel comfortable around people.],I... [Insult people.],I... [Pay attention to details.],I... [Worry about things.],I... [Have a vivid imagination.],I... [Keep in the background.],I... [Sympathize with others' feelings.],I... [Make a mess of things.],I... [Seldom feel blue.],I... [Am not interested in abstract ideas.],I... [Start conversations.],I... [Am not interested in other people's problems.],I... [Get chores done right away.],I... [Am easily disturbed.],I... [Have excellent ideas.],I... [Have little to say.],I... [Have a soft heart.],I... [Often forget to put things back in their proper place.],I... [Get upset easily.],I... [Do not have a good imagination.],I... [Talk to a lot of different people at parties.],I... [Am not really interested in others.],I... [Like order.],I... [Change my mood a lot.],I... [Am quick to understand things.],I... [Don't like to draw attention to myself.],I... [Take time out for others.],I... [Shirk my duties.],I... [Have frequent mood swings.],I... [Use difficult words.],I... [Don't mind being the center of attention.],I... [Feel others' emotions.],I... [Follow a schedule.],I... [Get irritated easily.],I... [Spend time reflecting on things.],I... [Am quiet around strangers.],I... [Make people feel at ease.],I... [Am exacting in my work.],I... [Often feel blue.],I... [Am full of ideas.]
29/03/2022 8.01.30,maba09,Male,24,Italy,Italy,3 - neutral,5 - agree,4 - slightly agree,2 - slightly disagree,3 - neutral,1 - disagree,5 - agree,1 - disagree,5 - agree,2 - slightly disagree,4 - slightly agree,1 - disagree,4 - slightly agree,3 - neutral,4 - slightly agree,3 - neutral,4 - slightly agree,2 - slightly disagree,4 - slightly agree,2 - slightly disagree,5 - agree,2 - slightly disagree,2 - slightly disagree,2 - slightly disagree,3 - neutral,3 - neutral,4 - slightly agree,3 - neutral,1 - disagree,2 - slightly disagree,4 - slightly agree,2 - slightly disagree,3 - neutral,2 - slightly disagree,3 - neutral,2 - slightly disagree,5 - agree,3 - neutral,2 - slightly disagree,2 - slightly disagree,3 - neutral,4 - slightly agree,3 - neutral,1 - disagree,4 - slightly agree,2 - slightly disagree,4 - slightly agree,3 - neutral,1 - disagree,4 - slightly agree
04/04/2022 16.39.49,soze31,Female,23,Austria,Germany,5 - agree,2 - slightly disagree,4 - slightly agree,2 - slightly disagree,1 - disagree,3 - neutral,4 - slightly agree,1 - disagree,4 - slightly agree,4 - slightly agree,4 - slightly agree,2 - slightly disagree,3 - neutral,1 - disagree,4 - slightly agree,1 - disagree,4 - slightly agree,4 - slightly agree,2 - slightly disagree,4 - slightly agree,5 - agree,3 - neutral,5 - agree,3 - neutral,2 - slightly disagree,4 - slightly agree,2 - slightly disagree,1 - disagree,2 - slightly disagree,2 - slightly disagree,5 - agree,3 - neutral,5 - agree,4 - slightly agree,2 - slightly disagree,2 - slightly disagree,5 - agree,1 - disagree,4 - slightly agree,2 - slightly disagree,5 - agree,3 - neutral,5 - agree,2 - slightly disagree,5 - agree,4 - slightly agree,3 - neutral,4 - slightly agree,2 - slightly disagree,3 - neutral
19/04/2022 13.51.26,nipe10,Male,27,Austria,Austria,2 - slightly disagree,2 - slightly disagree,3 - neutral,2 - slightly disagree,4 - slightly agree,2 - slightly disagree,4 - slightly agree,2 - slightly disagree,3 - neutral,2 - slightly disagree,4 - slightly agree,1 - disagree,4 - slightly agree,4 - slightly agree,4 - slightly agree,3 - neutral,4 - slightly agree,2 - slightly disagree,4 - slightly agree,2 - slightly disagree,2 - slightly disagree,2 - slightly disagree,2 - slightly disagree,4 - slightly agree,3 - neutral,2 - slightly disagree,2 - slightly disagree,3 - neutral,2 - slightly disagree,2 - slightly disagree,2 - slightly disagree,2 - slightly disagree,4 - slightly agree,2 - slightly disagree,4 - slightly agree,2 - slightly disagree,4 - slightly agree,3 - neutral,2 - slightly disagree,3 - neutral,4 - slightly agree,4 - slightly agree,3 - neutral,4 - slightly agree,4 - slightly agree,4 - slightly agree,3 - neutral,3 - neutral,2 - slightly disagree,3 - neutral
20/04/2022 19.48.00,dino02,Female,30,Germany,Austria,1 - disagree,1 - disagree,2 - slightly disagree,4 - slightly agree,2 - slightly disagree,4 - slightly agree,4 - slightly agree,1 - disagree,4 - slightly agree,2 - slightly disagree,4 - slightly agree,1 - disagree,4 - slightly agree,4 - slightly agree,1 - disagree,5 - agree,5 - agree,1 - disagree,5 - agree,2 - slightly disagree,3 - neutral,1 - disagree,1 - disagree,4 - slightly agree,2 - slightly disagree,2 - slightly disagree,5 - agree,1 - disagree,2 - slightly disagree,4 - slightly agree,1 - disagree,1 - disagree,3 - neutral,2 - slightly disagree,5 - agree,5 - agree,4 - slightly agree,1 - disagree,1 - disagree,1 - disagree,1 - disagree,4 - slightly agree,4 - slightly agree,3 - neutral,2 - slightly disagree,5 - agree,3 - neutral,4 - slightly agree,1 - disagree,3 - neutral
25/04/2022 20.00.48,jomo20,Female,30,Canada,Canada,4 - slightly agree,1 - disagree,5 - agree,4 - slightly agree,5 - agree,1 - disagree,4 - slightly agree,1 - disagree,2 - slightly disagree,3 - neutral,5 - agree,1 - disagree,5 - agree,4 - slightly agree,2 - slightly disagree,1 - disagree,4 - slightly agree,1 - disagree,2 - slightly disagree,2 - slightly disagree,4 - slightly agree,2 - slightly disagree,5 - agree,1 - disagree,5 - agree,1 - disagree,4 - slightly agree,1 - disagree,1 - disagree,1 - disagree,4 - slightly agree,1 - disagree,5 - agree,2 - slightly disagree,5 - agree,4 - slightly agree,5 - agree,1 - disagree,1 - disagree,5 - agree,3 - neutral,4 - slightly agree,5 - agree,2 - slightly disagree,5 - agree,2 - slightly disagree,3 - neutral,5 - agree,1 - disagree,5 - agree
27/04/2022 9.53.23,mama13,Female,24,Croatia,Croatia,4 - slightly agree,1 - disagree,4 - slightly agree,3 - neutral,4 - slightly agree,3 - neutral,4 - slightly agree,2 - slightly disagree,3 - neutral,3 - neutral,3 - neutral,1 - disagree,5 - agree,4 - slightly agree,3 - neutral,2 - slightly disagree,4 - slightly agree,1 - disagree,4 - slightly agree,2 - slightly disagree,4 - slightly agree,1 - disagree,4 - slightly agree,3 - neutral,4 - slightly agree,2 - slightly disagree,4 - slightly agree,1 - disagree,3 - neutral,2 - slightly disagree,4 - slightly agree,1 - disagree,5 - agree,3 - neutral,5 - agree,5 - agree,5 - agree,1 - disagree,1 - disagree,2 - slightly disagree,3 - neutral,4 - slightly agree,4 - slightly agree,3 - neutral,4 - slightly agree,2 - slightly disagree,4 - slightly agree,4 - slightly agree,1 - disagree,3 - neutral
27/04/2022 20.35.28,moob25,Male,24,Austria,Austria,1 - disagree,4 - slightly agree,3 - neutral,4 - slightly agree,4 - slightly agree,4 - slightly agree,1 - disagree,4 - slightly agree,1 - disagree,1 - disagree,2 - slightly disagree,1 - disagree,4 - slightly agree,4 - slightly agree,3 - neutral,5 - agree,2 - slightly disagree,1 - disagree,1 - disagree,1 - disagree,2 - slightly disagree,4 - slightly agree,2 - slightly disagree,3 - neutral,2 - slightly disagree,4 - slightly agree,2 - slightly disagree,3 - neutral,3 - neutral,2 - slightly disagree,1 - disagree,4 - slightly agree,5 - agree,2 - slightly disagree,4 - slightly agree,4 - slightly agree,5 - agree,1 - disagree,2 - slightly disagree,3 - neutral,3 - neutral,2 - slightly disagree,2 - slightly disagree,4 - slightly agree,4 - slightly agree,5 - agree,2 - slightly disagree,4 - slightly agree,4 - slightly agree,3 - neutral
05/05/2022 8.22.02,vamo24,Female,31,Italy,Austria,3 - neutral,2 - slightly disagree,4 - slightly agree,4 - slightly agree,2 - slightly disagree,1 - disagree,5 - agree,3 - neutral,3 - neutral,2 - slightly disagree,5 - agree,1 - disagree,5 - agree,4 - slightly agree,3 - neutral,3 - neutral,5 - agree,2 - slightly disagree,3 - neutral,2 - slightly disagree,3 - neutral,1 - disagree,3 - neutral,1 - disagree,4 - slightly agree,2 - slightly disagree,5 - agree,1 - disagree,1 - disagree,2 - slightly disagree,1 - disagree,1 - disagree,4 - slightly agree,4 - slightly agree,5 - agree,4 - slightly agree,5 - agree,1 - disagree,2 - slightly disagree,1 - disagree,3 - neutral,5 - agree,3 - neutral,1 - disagree,5 - agree,3 - neutral,5 - agree,3 - neutral,3 - neutral,3 - neutral
16/05/2022 10.25.17,thko03,Male,35,Canada,Austria,2 - slightly disagree,1 - disagree,4 - slightly agree,3 - neutral,5 - agree,2 - slightly disagree,4 - slightly agree,1 - disagree,4 - slightly agree,1 - disagree,4 - slightly agree,2 - slightly disagree,4 - slightly agree,3 - neutral,5 - agree,4 - slightly agree,3 - neutral,1 - disagree,5 - agree,1 - disagree,4 - slightly agree,2 - slightly disagree,3 - neutral,2 - slightly disagree,5 - agree,2 - slightly disagree,3 - neutral,1 - disagree,4 - slightly agree,1 - disagree,4 - slightly agree,2 - slightly disagree,5 - agree,1 - disagree,5 - agree,4 - slightly agree,3 - neutral,2 - slightly disagree,1 - disagree,5 - agree,3 - neutral,2 - slightly disagree,3 - neutral,4 - slightly agree,5 - agree,4 - slightly agree,3 - neutral,4 - slightly agree,1 - disagree,5 - agree
16/05/2022 21.17.39,mile27,Male,25,Austria,Austria,3 - neutral,4 - slightly agree,5 - agree,1 - disagree,5 - agree,1 - disagree,2 - slightly disagree,3 - neutral,4 - slightly agree,1 - disagree,4 - slightly agree,3 - neutral,5 - agree,3 - neutral,5 - agree,2 - slightly disagree,3 - neutral,2 - slightly disagree,2 - slightly disagree,1 - disagree,4 - slightly agree,4 - slightly agree,3 - neutral,4 - slightly agree,5 - agree,2 - slightly disagree,5 - agree,4 - slightly agree,2 - slightly disagree,1 - disagree,3 - neutral,3 - neutral,4 - slightly agree,2 - slightly disagree,5 - agree,2 - slightly disagree,4 - slightly agree,3 - neutral,1 - disagree,5 - agree,4 - slightly agree,3 - neutral,3 - neutral,2 - slightly disagree,5 - agree,3 - neutral,3 - neutral,4 - slightly agree,2 - slightly disagree,5 - agree
