valence_slider.response,valence_slider.rt,arousal_slider.response,arousal_slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,img_name,vm,am,manipulation,participant,date,expName,psychopyVersion,OS,frameRate
2.949438202,83.915,1.413857678,94.351,0,0,0,28,1,59_8568373b727f29d67ba6ce4c360dd918c8b08b13495fca56bdda5e82_circblurint.jpg,2.064896,0.505688,circularblurringint,dino02,2022-04-20_19h53.00.487,ratings,2022.1.1,Win32,59.95203837
-2.247191011,36.964,0.889513109,19.428,0,1,1,238,1,410_9633c4ff6e8888fcfca59a60ca86e9606d3e0736500a254101bdf295_circblurint.jpg,-0.3677892,2.981028,circularblurringint,dino02,2022-04-20_19h53.00.487,ratings,2022.1.1,Win32,59.95203837
-1.441947566,12.381,-2.837078652,17.42,0,2,2,224,1,403_57ac47f43882fc031a6067b1a388c0b2cbe8708dcbd2ff1019932eff_edges.jpg,-3.333332,-1.396824,edges,dino02,2022-04-20_19h53.00.487,ratings,2022.1.1,Win32,59.95203837
-1.760299625,16.09,-1.619850187,18.638,0,3,3,371,1,616_05a637f5281666f53d4e2ef69351485fc21d629b37ee2006b2076eb6_circblurext.jpg,-2.380952,-0.832364,circularblurringext,dino02,2022-04-20_19h53.00.487,ratings,2022.1.1,Win32,59.95203837
1.207865169,5.765,0.43071161,18.775,0,4,4,305,1,453_54f106fd1d4b65fa4aa347407127fc30d49f791e81aee3a0bbe44489_circblurext.jpg,2.222224,0.0,circularblurringext,dino02,2022-04-20_19h53.00.487,ratings,2022.1.1,Win32,59.95203837
-0.917602996,16.853,-0.74906367,30.516,0,5,5,562,1,1022_cf035e583d41a856836f8b0ae314ecbe79dffd9e40ef6a08cc26028f_circblurint.jpg,-0.2516452,3.05846,circularblurringint,dino02,2022-04-20_19h53.00.487,ratings,2022.1.1,Win32,59.95203837
1.376404494,7.71,0.449438202,52.256,0,6,6,200,1,380_34772591c787182a37724027eac6948ebc9d4064f6a601d23b923b8e_edges.jpg,2.222224,-0.063492,edges,dino02,2022-04-20_19h53.00.487,ratings,2022.1.1,Win32,59.95203837
0.533707865,3.414,-2.209737828,8.561,0,7,7,220,1,396_208259ea431d47bb7f3946213eb099834eb119756ce304ad473d4d9f_circblurint.jpg,2.857144,-0.3809524,circularblurringint,dino02,2022-04-20_19h53.00.487,ratings,2022.1.1,Win32,59.95203837
-2.200374532,13.954,-0.486891386,39.584,0,8,8,393,1,663_aaf52107fe3a86392530d88b34e86f9d2b6820714cad98d1e3c2cb67_blur.jpg,2.58766,0.0918696,blurring,dino02,2022-04-20_19h53.00.487,ratings,2022.1.1,Win32,59.95203837
-1.123595506,7.293,-0.449438202,13.751,0,9,9,194,1,379_eeaa6d9bf5a4ef205dc48bc505cf3a7f24ea86e99af9b371e03602a7_edges.jpg,-0.3926308,2.88936,edges,dino02,2022-04-20_19h53.00.487,ratings,2022.1.1,Win32,59.95203837
-2.162921348,6.2,0.514981273,18.357,0,10,10,385,1,646_577760d718dab44c6f04d77408c5644a120065ce07a9503957d0850a_bw.jpg,-2.690668,2.61324,blackwhite,dino02,2022-04-20_19h53.00.487,ratings,2022.1.1,Win32,59.95203837
-2.827715356,2.824,-2.668539326,8.634,0,11,11,104,1,284_cdcbd54fc995081ac95c8b2c37a19cebb341f61a8eb268cee1623492_edges.jpg,-1.015872,2.095236,edges,dino02,2022-04-20_19h53.00.487,ratings,2022.1.1,Win32,59.95203837
