valence_slider.response,valence_slider.rt,arousal_slider.response,arousal_slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,img_name,vm,am,manipulation,participant,session,date,expName,psychopyVersion,OS,frameRate
0.458801498,7.275,-2.34082397,13.8,0,0,0,102,1,284_cdcbd54fc995081ac95c8b2c37a19cebb341f61a8eb268cee1623492_orig.jpg,-1.015872,2.095236,original,maba09021998,001,2022-03-29_10h03.45.236,ratings,2022.1.1,Win32,60.09615385
1.451310861,5.885,-1.554307116,10.926,0,1,1,150,1,355_00a76f54934d36566dd0e7b091b8aa6a56d8e6b32d349aa578a10b45_orig.jpg,2.910052,0.3439152,original,maba09021998,001,2022-03-29_10h03.45.236,ratings,2022.1.1,Win32,60.09615385
-0.458801498,4.638,-1.647940075,12.33,0,2,2,438,1,700_59cb565f134f1afd066d7b6d936c6511b7cb76de0e9cbb5ce15124ad_orig.jpg,0.0,0.0,original,maba09021998,001,2022-03-29_10h03.45.236,ratings,2022.1.1,Win32,60.09615385
-2.387640449,14.849,-2.612359551,11.751,0,3,3,440,1,700_59cb565f134f1afd066d7b6d936c6511b7cb76de0e9cbb5ce15124ad_edges.jpg,0.0,0.0,edges,maba09021998,001,2022-03-29_10h03.45.236,ratings,2022.1.1,Win32,60.09615385
-1.507490637,7.055,-1.647940075,11.664,0,4,4,572,1,1039_d64da8480fc6e94dcdc513237d600570ae0b9fe48795ac6a8b2d29a7_edges.jpg,-2.507936,-1.142856,edges,maba09021998,001,2022-03-29_10h03.45.236,ratings,2022.1.1,Win32,60.09615385
0.543071161,5.371,0.608614232,14.063,0,5,5,3,1,13_771f4fcf0a212d25d6a78565e7f34cc5ddd823e7afbdc77ef063326e_blur.jpg,2.190476,0.0,blurring,maba09021998,001,2022-03-29_10h03.45.236,ratings,2022.1.1,Win32,60.09615385
2.200374532,3.257,-1.423220974,11.698,0,6,6,12,1,39_2fafccaa4dc69045a05845f59c6b3cd2edcf7e0e0c108b24e553afe0_orig.jpg,2.022756,0.463548,original,maba09021998,001,2022-03-29_10h03.45.236,ratings,2022.1.1,Win32,60.09615385
-2.265917603,10.776,-0.009363296,13.175,0,7,7,574,1,1039_d64da8480fc6e94dcdc513237d600570ae0b9fe48795ac6a8b2d29a7_circblurint.jpg,-2.507936,-1.142856,circularblurringint,maba09021998,001,2022-03-29_10h03.45.236,ratings,2022.1.1,Win32,60.09615385
1.254681648,3.336,0.880149813,7.132,0,8,8,92,1,258_d26019382777d2159a974a7654923e71598135ce2cd710cea1f92865_edges.jpg,3.497684,-0.61104,edges,maba09021998,001,2022-03-29_10h03.45.236,ratings,2022.1.1,Win32,60.09615385
1.029962547,3.893,1.722846442,5.071,0,9,9,117,1,332_4d584229bdae2e1782f77f0e953e528f13c3dfa79b4b94736c0310fa_blur.jpg,3.157348,0.483092,blurring,maba09021998,001,2022-03-29_10h03.45.236,ratings,2022.1.1,Win32,60.09615385
0.065543071,4.645,-2.162921348,5.744,0,10,10,192,1,379_eeaa6d9bf5a4ef205dc48bc505cf3a7f24ea86e99af9b371e03602a7_orig.jpg,-0.3926308,2.88936,original,maba09021998,001,2022-03-29_10h03.45.236,ratings,2022.1.1,Win32,60.09615385
1.573033708,1.827,-1.235955056,4.219,0,11,11,202,1,380_34772591c787182a37724027eac6948ebc9d4064f6a601d23b923b8e_circblurint.jpg,2.222224,-0.063492,circularblurringint,maba09021998,001,2022-03-29_10h03.45.236,ratings,2022.1.1,Win32,60.09615385
-3.426966292,2.092,-2.041198502,5.336,0,12,12,205,1,381_5935a9f9796adce2f1539af6c75bcdc0c80d847a2ce9b77cf59b7672_bw.jpg,-1.327432,-0.442476,blackwhite,maba09021998,001,2022-03-29_10h03.45.236,ratings,2022.1.1,Win32,60.09615385
-0.411985019,2.31,0.215355805,5.164,0,13,13,126,1,349_18d92ef5c21ca70a3dd237aad251594e1688bbe01d8cff37b89c46b8_orig.jpg,-2.74874,-1.258228,original,maba09021998,001,2022-03-29_10h03.45.236,ratings,2022.1.1,Win32,60.09615385
-1.086142322,3.239,-1.788389513,5.035,0,14,14,134,1,349_8809a67686d34844c915d7700e2ea72ad1c02ae232ae0d3cc0e458d4_edges.jpg,-3.619048,-0.2857144,edges,maba09021998,001,2022-03-29_10h03.45.236,ratings,2022.1.1,Win32,60.09615385
-2.331460674,1.642,-0.514981273,3.756,0,15,15,239,1,410_9633c4ff6e8888fcfca59a60ca86e9606d3e0736500a254101bdf295_circblurext.jpg,-0.3677892,2.981028,circularblurringext,maba09021998,001,2022-03-29_10h03.45.236,ratings,2022.1.1,Win32,60.09615385
-1.947565543,3.224,0.580524345,4.24,0,16,16,257,1,416_5eb54976bb41ce2a6d129ef985f792e716f010fb9b69b15f50f5d2db_circblurext.jpg,-2.58766,2.602972,circularblurringext,maba09021998,001,2022-03-29_10h03.45.236,ratings,2022.1.1,Win32,60.09615385
0.664794007,4.608,0.63670412,6.351,0,17,17,154,1,355_00a76f54934d36566dd0e7b091b8aa6a56d8e6b32d349aa578a10b45_circblurint.jpg,2.910052,0.3439152,circularblurringint,maba09021998,001,2022-03-29_10h03.45.236,ratings,2022.1.1,Win32,60.09615385
1.722846442,1.376,1.123595506,2.841,0,18,18,586,1,1225_59c67a821456f2cce3e5acf66d7f00076bd02caffc984c1eb0df794e_circblurint.jpg,-0.444444,3.809524,circularblurringint,maba09021998,001,2022-03-29_10h03.45.236,ratings,2022.1.1,Win32,60.09615385
-1.376404494,3.423,-0.505617978,4.238,0,19,19,262,1,416_8a1f874e0057d67a4e6955865ba88b2d8ce2c8b4469589307687a723_circblurint.jpg,-1.753336,3.088264,circularblurringint,maba09021998,001,2022-03-29_10h03.45.236,ratings,2022.1.1,Win32,60.09615385
