valence_slider.response,valence_slider.rt,arousal_slider.response,arousal_slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,img_name,vm,am,manipulation,participant,date,expName,psychopyVersion,OS,frameRate
-0.552749766,293.8655,-0.513267639,298.7136,0,0,0,573,1,1039_d64da8480fc6e94dcdc513237d600570ae0b9fe48795ac6a8b2d29a7_blur.jpg,-2.507936,-1.142856,blurring,mama13,2022-04-27_09h57.21.392,ratings,2022.1.1,Win32,59.99880002
-1.645088588,25.9043,-1.092338822,34.1687,0,1,1,405,1,686_6745b57686ad5d1bd6cf3e7ed5bc0243a154f8939e88e30321dfcfdb_blur.jpg,-1.523808,3.650792,blurring,mama13,2022-04-27_09h57.21.392,ratings,2022.1.1,Win32,59.99880002
1.552963627,8.8838,0.565910474,12.4347,0,2,2,566,1,1037_e2eb929a6de79a63ce6cfe5321fcb74a203b134e4094932d90b01d99_edges.jpg,2.651956,0.0,edges,mama13,2022-04-27_09h57.21.392,ratings,2022.1.1,Win32,59.99880002
-2.94799875,9.0804,-1.039695988,16.4796,0,3,3,496,1,824_b1d91cc824ce0d3d383d3147da88d3d6dbaf6be918bab79e3ec8f501_circblurint.jpg,-3.645176,-1.432784,circularblurringint,mama13,2022-04-27_09h57.21.392,ratings,2022.1.1,Win32,59.99880002
-1.131820949,20.1722,-1.092338822,22.7846,0,4,4,373,1,620_9674719009d75dcfeaed7f15932c43e1fd1af5e25d47b8aadd61efe2_bw.jpg,-0.561364,1.142084,blackwhite,mama13,2022-04-27_09h57.21.392,ratings,2022.1.1,Win32,59.99880002
-1.171303075,15.1108,-1.210785201,16.9776,0,5,5,435,1,694_f80f33613b268beffd6c044537cf3b44a84683d6e889bc37b8e9c34b_blur.jpg,-0.3785616,3.34728,blurring,mama13,2022-04-27_09h57.21.392,ratings,2022.1.1,Win32,59.99880002
-2.23732048,3.907,-2.526856071,5.5095,0,6,6,415,1,692_7d7eaf20e6de8956f0fca7500ace97a8599aa8b605a7d690cdb28724_bw.jpg,-2.063492,-1.26984,blackwhite,mama13,2022-04-27_09h57.21.392,ratings,2022.1.1,Win32,59.99880002
0.184249922,4.701,0.315857009,6.4673,0,7,7,549,1,1010_06d15f44b979c086561137000ec070ba4cd479856f92840a7850b2bf_blur.jpg,0.189786,-0.189786,blurring,mama13,2022-04-27_09h57.21.392,ratings,2022.1.1,Win32,59.99880002
-1.789856384,9.0832,-1.803017092,14.6963,0,8,8,499,1,854_081a8409e4d6d10923b2dedcc16a3fca405fcd602e55a20d84cac69d_bw.jpg,3.088264,1.21538,blackwhite,mama13,2022-04-27_09h57.21.392,ratings,2022.1.1,Win32,59.99880002
-0.342178426,7.3314,-0.355339135,9.0982,0,9,9,97,1,267_792043debad81ce271cec5b3c3bd9d264efc13f362bec9c7a3f72fe7_bw.jpg,1.980616,0.2107036,blackwhite,mama13,2022-04-27_09h57.21.392,ratings,2022.1.1,Win32,59.99880002
-3.013802293,5.9805,-2.421570402,8.9985,0,10,10,503,1,854_081a8409e4d6d10923b2dedcc16a3fca405fcd602e55a20d84cac69d_circblurext.jpg,3.088264,1.21538,circularblurringext,mama13,2022-04-27_09h57.21.392,ratings,2022.1.1,Win32,59.99880002
0.6053926,4.9458,0.552749766,6.948,0,11,11,371,1,616_05a637f5281666f53d4e2ef69351485fc21d629b37ee2006b2076eb6_circblurext.jpg,-2.380952,-0.832364,circularblurringext,mama13,2022-04-27_09h57.21.392,ratings,2022.1.1,Win32,59.99880002
1.93462418,4.2967,1.447677957,6.2305,0,12,12,179,1,368_6507b94d7d0199f14efd3706db30c9c44b96085f84e9cc7792e3e0ae_circblurext.jpg,1.959544,0.400336,circularblurringext,mama13,2022-04-27_09h57.21.392,ratings,2022.1.1,Win32,59.99880002
0.829124648,4.4919,0.960731735,5.9962,0,13,13,443,1,700_59cb565f134f1afd066d7b6d936c6511b7cb76de0e9cbb5ce15124ad_circblurext.jpg,0.0,0.0,circularblurringext,mama13,2022-04-27_09h57.21.392,ratings,2022.1.1,Win32,59.99880002
1.72405284,2.1828,1.552963627,3.716,0,14,14,41,1,82_43f4d5aec7c2e5bd495473f6708a0f2d47c9fe34e1fe9436646cb036_circblurext.jpg,2.022756,0.505688,circularblurringext,mama13,2022-04-27_09h57.21.392,ratings,2022.1.1,Win32,59.99880002
-1.329231579,2.856,-2.039909849,6.6995,0,15,15,512,1,858_2f6539ee36aba48c38dc716d4f7c3ae93367d6ddf23ab41745d4172c_edges.jpg,0.0623832,0.176752,edges,mama13,2022-04-27_09h57.21.392,ratings,2022.1.1,Win32,59.99880002
0.579071183,3.7044,0.500106931,5.1137,0,16,16,32,1,60_ad52063167538de24f94d7dfd04808cb94cf8f426c40871d2f126505_edges.jpg,2.158732,0.0,edges,mama13,2022-04-27_09h57.21.392,ratings,2022.1.1,Win32,59.99880002
1.803017092,2.9178,1.658249297,4.1144,0,17,17,565,1,1037_e2eb929a6de79a63ce6cfe5321fcb74a203b134e4094932d90b01d99_bw.jpg,2.651956,0.0,blackwhite,mama13,2022-04-27_09h57.21.392,ratings,2022.1.1,Win32,59.99880002
-0.539589057,5.8102,-0.486946222,6.8852,0,18,18,45,1,92_5d20d78a8e57e628c6930676473a4e0a485e715841efd6286c660020_blur.jpg,2.126984,0.0,blurring,mama13,2022-04-27_09h57.21.392,ratings,2022.1.1,Win32,59.99880002
0.131607087,3.7058,0.078964252,5.2013,0,19,19,82,1,242_85283f6935a89812ab229dcad9ba184529c9242ac3106d768ecf3ab3_circblurint.jpg,2.14918,-0.2949852,circularblurringint,mama13,2022-04-27_09h57.21.392,ratings,2022.1.1,Win32,59.99880002
-2.711105993,2.7644,-2.711105993,3.8645,0,20,20,248,1,414_0187bdf7007109b487865b6a9d388997a6817acf052a6a7cdd5b39d9_edges.jpg,-2.786708,-1.133056,edges,mama13,2022-04-27_09h57.21.392,ratings,2022.1.1,Win32,59.99880002
-0.473785513,4.1769,-0.368499844,5.6435,0,21,21,62,1,156_08e8cf8f04630e9213e610580de73f51572d1d589878648700bae4dc_edges.jpg,2.222224,0.0,edges,mama13,2022-04-27_09h57.21.392,ratings,2022.1.1,Win32,59.99880002
-2.724266702,10.3961,-2.724266702,8.212,0,22,22,492,1,824_b1d91cc824ce0d3d383d3147da88d3d6dbaf6be918bab79e3ec8f501_orig.jpg,-3.645176,-1.432784,original,mama13,2022-04-27_09h57.21.392,ratings,2022.1.1,Win32,59.99880002
-0.092124961,3.6382,-0.144767796,5.1963,0,23,23,588,1,1228_557412d34d6a70b7c5d222e030aa485b351a4574e8ba1a3112d1d13d_orig.jpg,2.137444,0.703464,original,mama13,2022-04-27_09h57.21.392,ratings,2022.1.1,Win32,59.99880002
0.329017718,5.4873,1.263428036,9.3516,0,24,24,181,1,369_98db62a1bdabfd1bc551180da6658005b461585cd21614633cf76470_bw.jpg,2.190476,-0.03174604,blackwhite,mama13,2022-04-27_09h57.21.392,ratings,2022.1.1,Win32,59.99880002
-0.144767796,4.6824,0.315857009,7.1988,0,25,25,109,1,293_3dfdfafc0c6a54b2da7453750ac281f7718c0b3337b0a74c4563d6bd_bw.jpg,-2.574524,2.632596,blackwhite,mama13,2022-04-27_09h57.21.392,ratings,2022.1.1,Win32,59.99880002
1.513481501,3.6465,1.263428036,4.7649,0,26,26,446,1,709_69c01dcde028a2a1a913f1a2a5026ae1748484f75c89217a040c6791_edges.jpg,1.432444,-0.01935732,edges,mama13,2022-04-27_09h57.21.392,ratings,2022.1.1,Win32,59.99880002
0.579071183,11.1815,0.802803231,12.6311,0,27,27,569,1,1037_e2eb929a6de79a63ce6cfe5321fcb74a203b134e4094932d90b01d99_circblurext.jpg,2.651956,0.0,circularblurringext,mama13,2022-04-27_09h57.21.392,ratings,2022.1.1,Win32,59.99880002
0.644874727,3.6974,0.065803544,5.6139,0,28,28,524,1,877_cab3efed0c9ff4552037df6c1ea4ea9713f915c94592a14dbf2799da_edges.jpg,3.174604,0.3174604,edges,mama13,2022-04-27_09h57.21.392,ratings,2022.1.1,Win32,59.99880002
0.421142679,5.0475,0.289535591,6.1298,0,29,29,83,1,242_85283f6935a89812ab229dcad9ba184529c9242ac3106d768ecf3ab3_circblurext.jpg,2.14918,-0.2949852,circularblurringext,mama13,2022-04-27_09h57.21.392,ratings,2022.1.1,Win32,59.99880002
-0.644874727,3.8125,-1.026535279,6.2803,0,30,30,308,1,455_34a7d8167619d110206c369e3f7dce8a3f99db763a9d8e2b956501d3_edges.jpg,-2.526412,-0.3827896,edges,mama13,2022-04-27_09h57.21.392,ratings,2022.1.1,Win32,59.99880002
0.157928504,3.0653,0.3026963,5.2139,0,31,31,455,1,716_2ab64478147184c4df720a52cf621875addc9007cb2967e4a9a88909_circblurext.jpg,2.428484,0.0,circularblurringext,mama13,2022-04-27_09h57.21.392,ratings,2022.1.1,Win32,59.99880002
1.395035123,4.2938,1.197624492,5.732,0,32,32,28,1,59_8568373b727f29d67ba6ce4c360dd918c8b08b13495fca56bdda5e82_circblurint.jpg,2.064896,0.505688,circularblurringint,mama13,2022-04-27_09h57.21.392,ratings,2022.1.1,Win32,59.99880002
-1.855659927,6.727,-1.855659927,8.0826,0,33,33,251,1,414_0187bdf7007109b487865b6a9d388997a6817acf052a6a7cdd5b39d9_circblurext.jpg,-2.786708,-1.133056,circularblurringext,mama13,2022-04-27_09h57.21.392,ratings,2022.1.1,Win32,59.99880002
1.066017405,4.1644,0.881767483,5.9474,0,34,34,595,1,1239_cee00457f4cfb76a407b12fd5ad714d440a4614c1e5467ee16caf618_bw.jpg,-0.03174604,0.190476,blackwhite,mama13,2022-04-27_09h57.21.392,ratings,2022.1.1,Win32,59.99880002
