valence_slider.response,valence_slider.rt,arousal_slider.response,arousal_slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,img_name,vm,am,manipulation,participant,date,expName,psychopyVersion,OS,frameRate
-0.029279362,49.5934,-0.751503617,50.5429,0,0,0,176,1,368_6507b94d7d0199f14efd3706db30c9c44b96085f84e9cc7792e3e0ae_edges.jpg,1.959544,0.400336,edges,MILE27,2022-05-16_21h25.03.225,ratings,2022.1.1,Win32,60.08171113
-0.419670851,21.734,-0.439190426,26.4406,0,1,1,292,1,442_7449d79dae5d652af9b2429872cabdef938646ba024db2f431b3b28d_circblurint.jpg,1.619048,0.126984,circularblurringint,MILE27,2022-05-16_21h25.03.225,ratings,2022.1.1,Win32,60.08171113
0.936939575,4.186,0.839341702,6.6714,0,2,2,472,1,741_2b218fb015e3da83db73cacdb52e61e0c2534c1fe255bb1c5c74d47f_circblurint.jpg,3.140096,0.448584,circularblurringint,MILE27,2022-05-16_21h25.03.225,ratings,2022.1.1,Win32,60.08171113
0.975978724,6.2655,-0.17567617,7.4389,0,3,3,44,1,92_5d20d78a8e57e628c6930676473a4e0a485e715841efd6286c660020_edges.jpg,2.126984,0.0,edges,MILE27,2022-05-16_21h25.03.225,ratings,2022.1.1,Win32,60.08171113
-1.844599788,5.9415,-3.81607681,4.1592,0,4,4,209,1,381_5935a9f9796adce2f1539af6c75bcdc0c80d847a2ce9b77cf59b7672_circblurext.jpg,-1.327432,-0.442476,circularblurringext,MILE27,2022-05-16_21h25.03.225,ratings,2022.1.1,Win32,60.08171113
0.390391489,25.2686,-0.448950213,30.0993,0,5,5,154,1,355_00a76f54934d36566dd0e7b091b8aa6a56d8e6b32d349aa578a10b45_circblurint.jpg,2.910052,0.3439152,circularblurringint,MILE27,2022-05-16_21h25.03.225,ratings,2022.1.1,Win32,60.08171113
0.439190426,5.404,-3.728238724,3.5762,0,6,6,68,1,172_c641c6c56ca6b594b773084e1363c852abdb65f988d7ff802ee503f2_edges.jpg,0.379572,0.01725328,edges,MILE27,2022-05-16_21h25.03.225,ratings,2022.1.1,Win32,60.08171113
0.126877234,3.4513,-0.74174383,4.8035,0,7,7,457,1,720_483c541c48959a597fcf44320941afaf8b7695105f90d65b5f6b30f2_bw.jpg,2.158732,-0.2539684,blackwhite,MILE27,2022-05-16_21h25.03.225,ratings,2022.1.1,Win32,60.08171113
-1.356610426,3.6682,-2.547304469,5.6034,0,8,8,271,1,434_ba36d91204d7e578001f6a545d7501e65d209554def5a3c8b7583825_bw.jpg,-3.523808,1.428572,blackwhite,MILE27,2022-05-16_21h25.03.225,ratings,2022.1.1,Win32,60.08171113
-1.512767022,6.6716,0.517268724,4.1976,0,9,9,58,1,137_0e6a04243c0a42a5e2528a2d181255ca2a4b7bd6e7978c5c2059c69f_circblurint.jpg,-0.95238,2.095236,circularblurringint,MILE27,2022-05-16_21h25.03.225,ratings,2022.1.1,Win32,60.08171113
-1.48348766,2.9727,0.214715319,4.7028,0,10,10,549,1,1010_06d15f44b979c086561137000ec070ba4cd479856f92840a7850b2bf_blur.jpg,0.189786,-0.189786,blurring,MILE27,2022-05-16_21h25.03.225,ratings,2022.1.1,Win32,60.08171113
0.692944894,2.2387,-0.468469787,8.5996,0,11,11,233,1,407_578d31d32e806706dde2563213f130b90e621abfed0e47ecabd85d27_circblurext.jpg,3.5873,-0.444444,circularblurringext,MILE27,2022-05-16_21h25.03.225,ratings,2022.1.1,Win32,60.08171113
-2.108114043,43.2787,-0.400151277,41.9682,0,12,12,207,1,381_5935a9f9796adce2f1539af6c75bcdc0c80d847a2ce9b77cf59b7672_blur.jpg,-1.327432,-0.442476,blurring,MILE27,2022-05-16_21h25.03.225,ratings,2022.1.1,Win32,60.08171113
0.888140639,2.1256,-3.367126597,4.0026,0,13,13,445,1,709_69c01dcde028a2a1a913f1a2a5026ae1748484f75c89217a040c6791_bw.jpg,1.432444,-0.01935732,blackwhite,MILE27,2022-05-16_21h25.03.225,ratings,2022.1.1,Win32,60.08171113
2.996254682,2.2448,1.990996596,3.4107,0,14,14,475,1,748_e519892faa7c772a0afaf9eeff36cf0e411574027ab3d9aa4947a048_bw.jpg,-1.813112,3.307432,blackwhite,MILE27,2022-05-16_21h25.03.225,ratings,2022.1.1,Win32,60.08171113
-3.757518086,2.0763,1.932437873,3.3848,0,15,15,529,1,915_dc9fd40a3b5d64a180833a7bac86e7556c24f681f473fe255e41f936_bw.jpg,-3.09294,-0.918696,blackwhite,MILE27,2022-05-16_21h25.03.225,ratings,2022.1.1,Win32,60.08171113
1.005258085,5.3571,0.517268724,6.4115,0,16,16,229,1,407_578d31d32e806706dde2563213f130b90e621abfed0e47ecabd85d27_bw.jpg,3.5873,-0.444444,blackwhite,MILE27,2022-05-16_21h25.03.225,ratings,2022.1.1,Win32,60.08171113
0.673425319,8.123,-1.434688724,7.2221,0,17,17,526,1,877_cab3efed0c9ff4552037df6c1ea4ea9713f915c94592a14dbf2799da_circblurint.jpg,3.174604,0.3174604,circularblurringint,MILE27,2022-05-16_21h25.03.225,ratings,2022.1.1,Win32,60.08171113
-2.088594469,4.8694,1.707962766,3.2675,0,18,18,95,1,258_d26019382777d2159a974a7654923e71598135ce2cd710cea1f92865_circblurext.jpg,3.497684,-0.61104,circularblurringext,MILE27,2022-05-16_21h25.03.225,ratings,2022.1.1,Win32,60.08171113
0.087838085,1.4878,0.800302553,2.1677,0,19,19,13,1,39_2fafccaa4dc69045a05845f59c6b3cd2edcf7e0e0c108b24e553afe0_bw.jpg,2.022756,0.463548,blackwhite,MILE27,2022-05-16_21h25.03.225,ratings,2022.1.1,Win32,60.08171113
-0.17567617,5.3484,-3.269528724,9.3472,0,20,20,297,1,449_9c1e990a3480e5b51430fe76b0188e69ba2468fd6a866b88b2d0dd75_blur.jpg,0.095238,0.03174604,blurring,MILE27,2022-05-16_21h25.03.225,ratings,2022.1.1,Win32,60.08171113
-3.718478937,1.8994,-1.786041064,3.4156,0,21,21,160,1,358_157f8ac929713531a15b1ecf115e7b659cb90e83d675251e368d165f_circblurint.jpg,-3.777776,-0.571428,circularblurringint,MILE27,2022-05-16_21h25.03.225,ratings,2022.1.1,Win32,60.08171113
