valence_slider.response,valence_slider.rt,arousal_slider.response,arousal_slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,img_name,vm,am,manipulation,participant,date,expName,psychopyVersion,OS,frameRate
-2.986891386,8.2402,2.237827715,54.1152,0,0,0,497,1,824_b1d91cc824ce0d3d383d3147da88d3d6dbaf6be918bab79e3ec8f501_circblurext.jpg,-3.645176,-1.432784,circularblurringext,nipe10,2022-04-19_14h42.11.715,ratings,2022.1.1,Linux x86_64,74.97375918
-1.479400749,17.889,-1.020599251,21.7623,0,1,1,301,1,453_54f106fd1d4b65fa4aa347407127fc30d49f791e81aee3a0bbe44489_bw.jpg,2.222224,0.0,blackwhite,nipe10,2022-04-19_14h42.11.715,ratings,2022.1.1,Linux x86_64,74.97375918
0.299625468,7.9162,-1.170411985,9.8998,0,2,2,476,1,748_e519892faa7c772a0afaf9eeff36cf0e411574027ab3d9aa4947a048_edges.jpg,-1.813112,3.307432,edges,nipe10,2022-04-19_14h42.11.715,ratings,2022.1.1,Linux x86_64,74.97375918
-1.104868914,6.3191,-1.301498127,9.4675,0,3,3,415,1,692_7d7eaf20e6de8956f0fca7500ace97a8599aa8b605a7d690cdb28724_bw.jpg,-2.063492,-1.26984,blackwhite,nipe10,2022-04-19_14h42.11.715,ratings,2022.1.1,Linux x86_64,74.97375918
1.947565543,25.4985,1.479400749,27.4414,0,4,4,201,1,380_34772591c787182a37724027eac6948ebc9d4064f6a601d23b923b8e_blur.jpg,2.222224,-0.063492,blurring,nipe10,2022-04-19_14h42.11.715,ratings,2022.1.1,Linux x86_64,74.97375918
0.627340824,9.6191,-1.058052434,10.2688,0,5,5,254,1,416_5eb54976bb41ce2a6d129ef985f792e716f010fb9b69b15f50f5d2db_edges.jpg,-2.58766,2.602972,edges,nipe10,2022-04-19_14h42.11.715,ratings,2022.1.1,Linux x86_64,74.97375918
-0.440074906,3.5681,-0.252808989,6.3999,0,6,6,140,1,353_44e285740cb41818482ac93fc5fbd72c18029444a1d7506c9fc053e7_edges.jpg,-3.232676,-0.87108,edges,nipe10,2022-04-19_14h42.11.715,ratings,2022.1.1,Linux x86_64,74.97375918
-1.573033708,15.9896,1.264044944,19.389,0,7,7,502,1,854_081a8409e4d6d10923b2dedcc16a3fca405fcd602e55a20d84cac69d_circblurint.jpg,3.088264,1.21538,circularblurringint,nipe10,2022-04-19_14h42.11.715,ratings,2022.1.1,Linux x86_64,74.97375918
-1.769662921,4.8161,-0.074906367,7.3095,0,8,8,549,1,1010_06d15f44b979c086561137000ec070ba4cd479856f92840a7850b2bf_blur.jpg,0.189786,-0.189786,blurring,nipe10,2022-04-19_14h42.11.715,ratings,2022.1.1,Linux x86_64,74.97375918
-2.031835206,16.0736,1.582397004,16.8908,0,9,9,4,1,13_771f4fcf0a212d25d6a78565e7f34cc5ddd823e7afbdc77ef063326e_circblurint.jpg,2.190476,0.0,circularblurringint,nipe10,2022-04-19_14h42.11.715,ratings,2022.1.1,Linux x86_64,74.97375918
