,code,img_name,manipulation,vm,am,valence,arousal,label
0,maba09,284_cdcbd54fc995081ac95c8b2c37a19cebb341f61a8eb268cee1623492_orig.jpg,original,-1.015872,2.095236,0.458801498,-2.34082397,LVHA
1,maba09,355_00a76f54934d36566dd0e7b091b8aa6a56d8e6b32d349aa578a10b45_orig.jpg,original,2.910052,0.3439152,1.451310861,-1.554307116,HVHA
2,maba09,700_59cb565f134f1afd066d7b6d936c6511b7cb76de0e9cbb5ce15124ad_orig.jpg,original,0.0,0.0,-0.458801498,-1.647940075,Neutral
3,maba09,700_59cb565f134f1afd066d7b6d936c6511b7cb76de0e9cbb5ce15124ad_edges.jpg,edges,0.0,0.0,-2.387640449,-2.612359551,Neutral
4,maba09,1039_d64da8480fc6e94dcdc513237d600570ae0b9fe48795ac6a8b2d29a7_edges.jpg,edges,-2.507936,-1.142856,-1.507490637,-1.647940075,LVLA
5,maba09,13_771f4fcf0a212d25d6a78565e7f34cc5ddd823e7afbdc77ef063326e_blur.jpg,blurring,2.190476,0.0,0.543071161,0.608614232,HVLA
6,maba09,39_2fafccaa4dc69045a05845f59c6b3cd2edcf7e0e0c108b24e553afe0_orig.jpg,original,2.022756,0.463548,2.200374532,-1.423220974,HVHA
7,maba09,1039_d64da8480fc6e94dcdc513237d600570ae0b9fe48795ac6a8b2d29a7_circblurint.jpg,circularblurringint,-2.507936,-1.142856,-2.265917603,-0.009363296,LVLA
8,maba09,258_d26019382777d2159a974a7654923e71598135ce2cd710cea1f92865_edges.jpg,edges,3.497684,-0.61104,1.254681648,0.880149813,HVLA
9,maba09,332_4d584229bdae2e1782f77f0e953e528f13c3dfa79b4b94736c0310fa_blur.jpg,blurring,3.157348,0.483092,1.029962547,1.722846442,HVHA
10,maba09,379_eeaa6d9bf5a4ef205dc48bc505cf3a7f24ea86e99af9b371e03602a7_orig.jpg,original,-0.3926308,2.88936,0.065543071,-2.162921348,LVHA
11,maba09,380_34772591c787182a37724027eac6948ebc9d4064f6a601d23b923b8e_circblurint.jpg,circularblurringint,2.222224,-0.063492,1.573033708,-1.235955056,HVLA
12,maba09,381_5935a9f9796adce2f1539af6c75bcdc0c80d847a2ce9b77cf59b7672_bw.jpg,blackwhite,-1.327432,-0.442476,-3.426966292,-2.041198502,LVLA
13,maba09,349_18d92ef5c21ca70a3dd237aad251594e1688bbe01d8cff37b89c46b8_orig.jpg,original,-2.74874,-1.258228,-0.411985019,0.215355805,LVLA
14,maba09,349_8809a67686d34844c915d7700e2ea72ad1c02ae232ae0d3cc0e458d4_edges.jpg,edges,-3.619048,-0.2857144,-1.086142322,-1.788389513,LVLA
15,maba09,410_9633c4ff6e8888fcfca59a60ca86e9606d3e0736500a254101bdf295_circblurext.jpg,circularblurringext,-0.3677892,2.981028,-2.331460674,-0.514981273,LVHA
16,maba09,416_5eb54976bb41ce2a6d129ef985f792e716f010fb9b69b15f50f5d2db_circblurext.jpg,circularblurringext,-2.58766,2.602972,-1.947565543,0.580524345,LVHA
17,maba09,355_00a76f54934d36566dd0e7b091b8aa6a56d8e6b32d349aa578a10b45_circblurint.jpg,circularblurringint,2.910052,0.3439152,0.664794007,0.63670412,HVHA
18,maba09,1225_59c67a821456f2cce3e5acf66d7f00076bd02caffc984c1eb0df794e_circblurint.jpg,circularblurringint,-0.444444,3.809524,1.722846442,1.123595506,LVHA
19,maba09,416_8a1f874e0057d67a4e6955865ba88b2d8ce2c8b4469589307687a723_circblurint.jpg,circularblurringint,-1.753336,3.088264,-1.376404494,-0.505617978,LVHA
20,maba09,332_4d584229bdae2e1782f77f0e953e528f13c3dfa79b4b94736c0310fa_circblurext.jpg,circularblurringext,3.157348,0.483092,0.805243446,-1.38576779,HVHA
21,maba09,361_b5541309527dc3c2422f45a95ebb0ed32005e6fe10d0489a1ff1fbdc_circblurext.jpg,circularblurringext,-3.987612,-0.2516452,-2.397003745,-0.037453184,LVLA
22,maba09,172_c641c6c56ca6b594b773084e1363c852abdb65f988d7ff802ee503f2_circblurint.jpg,circularblurringint,0.379572,0.01725328,1.43258427,2.808988764,HVHA
23,maba09,416_5eb54976bb41ce2a6d129ef985f792e716f010fb9b69b15f50f5d2db_orig.jpg,original,-2.58766,2.602972,1.301498127,-0.983146067,LVHA
24,maba09,468_8b69b13120daebadd8a4a3166e1419f2404395cba231307a4efa9fde_orig.jpg,original,2.031744,0.2539684,-2.265917603,0.664794007,HVHA
25,maba09,700_59cb565f134f1afd066d7b6d936c6511b7cb76de0e9cbb5ce15124ad_circblurint.jpg,circularblurringint,0.0,0.0,-0.43071161,-1.629213483,Neutral
26,maba09,818_877aae033c31e3bbca4486321a5307f87cf53c576c546462d3daf194_orig.jpg,original,-1.277584,0.619436,-0.561797753,-1.320224719,LVHA
27,maba09,1039_d64da8480fc6e94dcdc513237d600570ae0b9fe48795ac6a8b2d29a7_blur.jpg,blurring,-2.507936,-1.142856,-1.235955056,1.779026217,LVLA
28,maba09,332_4d584229bdae2e1782f77f0e953e528f13c3dfa79b4b94736c0310fa_edges.jpg,edges,3.157348,0.483092,0.702247191,0.552434457,HVHA
29,maba09,243_beddb302dcb21071d88c8d2cab07002050d36b3001ef28f89389fa56_circblurext.jpg,circularblurringext,-0.3450656,-0.2070392,-1.367041199,-0.243445693,LVLA
30,maba09,242_85283f6935a89812ab229dcad9ba184529c9242ac3106d768ecf3ab3_bw.jpg,blackwhite,2.14918,-0.2949852,2.144194757,1.376404494,HVLA
31,maba09,818_877aae033c31e3bbca4486321a5307f87cf53c576c546462d3daf194_edges.jpg,edges,-1.277584,0.619436,-1.451310861,0.140449438,LVHA
32,maba09,380_34772591c787182a37724027eac6948ebc9d4064f6a601d23b923b8e_bw.jpg,blackwhite,2.222224,-0.063492,1.338951311,0.917602996,HVLA
33,maba09,354_e46c3ec6fb00773f64f2bcd212385f253c389808fe724b7cf8611051_circblurext.jpg,circularblurringext,2.018292,0.0,1.207865169,2.18164794,HVLA
34,maba09,663_aaf52107fe3a86392530d88b34e86f9d2b6820714cad98d1e3c2cb67_circblurext.jpg,circularblurringext,2.58766,0.0918696,2.65917603,0.805243446,HVHA
35,maba09,720_483c541c48959a597fcf44320941afaf8b7695105f90d65b5f6b30f2_edges.jpg,edges,2.158732,-0.2539684,0.177902622,2.865168539,HVLA
36,maba09,915_dc9fd40a3b5d64a180833a7bac86e7556c24f681f473fe255e41f936_edges.jpg,edges,-3.09294,-0.918696,0.627340824,-1.104868914,LVLA
37,maba09,407_578d31d32e806706dde2563213f130b90e621abfed0e47ecabd85d27_circblurint.jpg,circularblurringint,3.5873,-0.444444,1.554307116,0.674157303,HVLA
38,maba09,431_ab5a1dbbe9292ac7f74e276cdabcd372e2c1f852ff34bf7cc6646ef8_blur.jpg,blurring,3.102584,0.354334,1.488764045,-0.486891386,HVHA
39,maba09,407_578d31d32e806706dde2563213f130b90e621abfed0e47ecabd85d27_bw.jpg,blackwhite,3.5873,-0.444444,-1.104868914,0.533707865,HVLA
40,maba09,686_6745b57686ad5d1bd6cf3e7ed5bc0243a154f8939e88e30321dfcfdb_orig.jpg,original,-1.523808,3.650792,0.140449438,-2.359550562,LVHA
41,maba09,137_0e6a04243c0a42a5e2528a2d181255ca2a4b7bd6e7978c5c2059c69f_blur.jpg,blurring,-0.95238,2.095236,0.449438202,-2.331460674,LVHA
42,maba09,460_e06b3af7ff2f2bfb5f9b6e3d5dc25b9aaa40b84823fac8fd934621bd_blur.jpg,blurring,-3.430992,-1.607468,-2.509363296,-1.891385768,LVLA
43,maba09,267_792043debad81ce271cec5b3c3bd9d264efc13f362bec9c7a3f72fe7_circblurint.jpg,circularblurringint,1.980616,0.2107036,-2.331460674,-1.666666667,HVHA
44,maba09,236_f645730e1eb06155418c9a571329cc7fa320654fcaaedf1048b5cc11_blur.jpg,blurring,2.253968,0.0,1.179775281,1.91011236,HVLA
45,maba09,855_66d893451dfd1e7615132071c6c8a82b02dc2b37781cd89400883b26_bw.jpg,blackwhite,2.69484,0.2143624,1.825842697,2.509363296,HVHA
46,maba09,82_43f4d5aec7c2e5bd495473f6708a0f2d47c9fe34e1fe9436646cb036_circblurext.jpg,circularblurringext,2.022756,0.505688,0.917602996,1.928838951,HVHA
47,maba09,1225_59c67a821456f2cce3e5acf66d7f00076bd02caffc984c1eb0df794e_orig.jpg,original,-0.444444,3.809524,2.088014981,2.397003745,LVHA
48,maba09,1014_a5c212ca979d482cf94c2db7697aba75620391a64b030ab7ad2bbecf_circblurint.jpg,circularblurringint,-3.174604,-1.374372,-2.303370787,-0.58988764,LVLA
49,maba09,616_05a637f5281666f53d4e2ef69351485fc21d629b37ee2006b2076eb6_circblurext.jpg,circularblurringext,-2.380952,-0.832364,-0.346441948,-3.211610487,LVLA
50,maba09,403_57ac47f43882fc031a6067b1a388c0b2cbe8708dcbd2ff1019932eff_bw.jpg,blackwhite,-3.333332,-1.396824,0.936329588,-2.602996255,LVLA
51,maba09,449_9c1e990a3480e5b51430fe76b0188e69ba2468fd6a866b88b2d0dd75_circblurint.jpg,circularblurringint,0.095238,0.03174604,-2.209737828,-2.640449438,HVHA
52,maba09,355_00a76f54934d36566dd0e7b091b8aa6a56d8e6b32d349aa578a10b45_edges.jpg,edges,2.910052,0.3439152,0.692883895,-2.059925094,HVHA
53,maba09,716_2ab64478147184c4df720a52cf621875addc9007cb2967e4a9a88909_edges.jpg,edges,2.428484,0.0,0.702247191,-2.584269663,HVLA
54,maba09,434_ba36d91204d7e578001f6a545d7501e65d209554def5a3c8b7583825_bw.jpg,blackwhite,-3.523808,1.428572,-0.262172285,-1.891385768,LVHA
55,maba09,354_e46c3ec6fb00773f64f2bcd212385f253c389808fe724b7cf8611051_edges.jpg,edges,2.018292,0.0,1.54494382,1.470037453,HVLA
56,maba09,416_8a1f874e0057d67a4e6955865ba88b2d8ce2c8b4469589307687a723_circblurext.jpg,circularblurringext,-1.753336,3.088264,-1.282771536,-1.11423221,LVHA
57,maba09,13_771f4fcf0a212d25d6a78565e7f34cc5ddd823e7afbdc77ef063326e_bw.jpg,blackwhite,2.190476,0.0,2.172284644,1.713483146,HVLA
58,maba09,736_bb85db1bcda8eb34299aa5791ac65a0a7c343266eb2d6e6e328ec0e1_circblurext.jpg,circularblurringext,3.650792,-0.03174604,1.170411985,0.196629213,HVLA
59,maba09,1014_a5c212ca979d482cf94c2db7697aba75620391a64b030ab7ad2bbecf_circblurext.jpg,circularblurringext,-3.174604,-1.374372,-1.666666667,-2.378277154,LVLA
