valence_slider.response,valence_slider.rt,arousal_slider.response,arousal_slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,img_name,vm,am,manipulation,participant,date,expName,psychopyVersion,OS,frameRate
0.823970037,8.4344,-1.54494382,12.6746,0,0,0,550,1,1010_06d15f44b979c086561137000ec070ba4cd479856f92840a7850b2bf_circblurint.jpg,0.189786,-0.189786,circularblurringint,vamo24,2022-05-05_14h33.07.365,ratings,2022.1.1,Win32,60.13229104
-0.374531835,2.4538,-0.440074906,3.5404,0,1,1,423,1,692_e3e3bf88684fbbcdb9849a4147f9e2fcd39b0f083554a829aca4e9fa_blur.jpg,-0.44522,3.135888,blurring,vamo24,2022-05-05_14h33.07.365,ratings,2022.1.1,Win32,60.13229104
1.516853933,8.0425,-1.217228464,8.7541,0,2,2,216,1,396_208259ea431d47bb7f3946213eb099834eb119756ce304ad473d4d9f_orig.jpg,2.857144,-0.3809524,original,vamo24,2022-05-05_14h33.07.365,ratings,2022.1.1,Win32,60.13229104
-0.421348315,4.2033,0.926966292,4.8756,0,3,3,373,1,620_9674719009d75dcfeaed7f15932c43e1fd1af5e25d47b8aadd61efe2_bw.jpg,-0.561364,1.142084,blackwhite,vamo24,2022-05-05_14h33.07.365,ratings,2022.1.1,Win32,60.13229104
-0.514981273,4.0189,0.31835206,6.2979,0,4,4,502,1,854_081a8409e4d6d10923b2dedcc16a3fca405fcd602e55a20d84cac69d_circblurint.jpg,3.088264,1.21538,circularblurringint,vamo24,2022-05-05_14h33.07.365,ratings,2022.1.1,Win32,60.13229104
-0.402621723,3.2482,-0.43071161,6.6477,0,5,5,382,1,640_0ddb4981a5f5842ed5b4f7ef941be53779189df5e718b1fc5475ad80_circblurint.jpg,2.571428,-1.873016,circularblurringint,vamo24,2022-05-05_14h33.07.365,ratings,2022.1.1,Win32,60.13229104
-0.702247191,2.768,0.580524345,4.7517,0,6,6,480,1,759_95e1c46ed9a337414d5c8eada8fa8b9632e18751f5ce6ed587806e91_orig.jpg,2.126984,0.0,original,vamo24,2022-05-05_14h33.07.365,ratings,2022.1.1,Win32,60.13229104
1.900749064,2.8773,0.187265918,6.3444,0,7,7,463,1,736_bb85db1bcda8eb34299aa5791ac65a0a7c343266eb2d6e6e328ec0e1_bw.jpg,3.650792,-0.03174604,blackwhite,vamo24,2022-05-05_14h33.07.365,ratings,2022.1.1,Win32,60.13229104
-0.468164794,2.0579,-0.383895131,2.7396,0,8,8,239,1,410_9633c4ff6e8888fcfca59a60ca86e9606d3e0736500a254101bdf295_circblurext.jpg,-0.3677892,2.981028,circularblurringext,vamo24,2022-05-05_14h33.07.365,ratings,2022.1.1,Win32,60.13229104
0.739700375,3.5493,0.009363296,6.6991,0,9,9,120,1,347_27f0e47c2722605b950ccf9fa900f78271e4c3c874064ab5dacac160_orig.jpg,1.838948,0.3097172,original,vamo24,2022-05-05_14h33.07.365,ratings,2022.1.1,Win32,60.13229104
1.535580524,1.9709,1.235955056,3.6666,0,10,10,150,1,355_00a76f54934d36566dd0e7b091b8aa6a56d8e6b32d349aa578a10b45_orig.jpg,2.910052,0.3439152,original,vamo24,2022-05-05_14h33.07.365,ratings,2022.1.1,Win32,60.13229104
-1.338951311,6.6214,0.767790262,7.9734,0,11,11,397,1,683_a004ad18331da968da5debdd15e1447dd7748750af0bc6c57b844200_bw.jpg,-2.91956,2.466524,blackwhite,vamo24,2022-05-05_14h33.07.365,ratings,2022.1.1,Win32,60.13229104
1.43258427,4.645,0.056179775,5.7965,0,12,12,116,1,332_4d584229bdae2e1782f77f0e953e528f13c3dfa79b4b94736c0310fa_edges.jpg,3.157348,0.483092,edges,vamo24,2022-05-05_14h33.07.365,ratings,2022.1.1,Win32,60.13229104
-1.095505618,2.4017,-0.411985019,5.6734,0,13,13,159,1,358_157f8ac929713531a15b1ecf115e7b659cb90e83d675251e368d165f_blur.jpg,-3.777776,-0.571428,blurring,vamo24,2022-05-05_14h33.07.365,ratings,2022.1.1,Win32,60.13229104
-0.533707865,1.5247,-0.308988764,2.3665,0,14,14,279,1,440_9bf7e8609729bf888835168834da6c3ff30b75d0d4f36e2ee6918bcc_blur.jpg,-2.284164,2.710028,blurring,vamo24,2022-05-05_14h33.07.365,ratings,2022.1.1,Win32,60.13229104
1.900749064,1.6531,1.235955056,2.5937,0,15,15,230,1,407_578d31d32e806706dde2563213f130b90e621abfed0e47ecabd85d27_edges.jpg,3.5873,-0.444444,edges,vamo24,2022-05-05_14h33.07.365,ratings,2022.1.1,Win32,60.13229104
-2.209737828,2.557,-0.168539326,3.8724,0,16,16,310,1,455_34a7d8167619d110206c369e3f7dce8a3f99db763a9d8e2b956501d3_circblurint.jpg,-2.526412,-0.3827896,circularblurringint,vamo24,2022-05-05_14h33.07.365,ratings,2022.1.1,Win32,60.13229104
0.411985019,3.8105,1.5917603,4.4273,0,17,17,421,1,692_e3e3bf88684fbbcdb9849a4147f9e2fcd39b0f083554a829aca4e9fa_bw.jpg,-0.44522,3.135888,blackwhite,vamo24,2022-05-05_14h33.07.365,ratings,2022.1.1,Win32,60.13229104
-0.449438202,4.7289,-0.355805243,5.8446,0,18,18,77,1,236_f645730e1eb06155418c9a571329cc7fa320654fcaaedf1048b5cc11_circblurext.jpg,2.253968,0.0,circularblurringext,vamo24,2022-05-05_14h33.07.365,ratings,2022.1.1,Win32,60.13229104
0.524344569,3.1669,-1.132958801,3.7586,0,19,19,110,1,293_3dfdfafc0c6a54b2da7453750ac281f7718c0b3337b0a74c4563d6bd_edges.jpg,-2.574524,2.632596,edges,vamo24,2022-05-05_14h33.07.365,ratings,2022.1.1,Win32,60.13229104
-0.936329588,2.284,-0.449438202,4.8432,0,20,20,361,1,508_a7a9519cdc7aad6844030f4e6cd96cffd1b9c49b71e20ea52789bda2_bw.jpg,-3.000388,-1.29694,blackwhite,vamo24,2022-05-05_14h33.07.365,ratings,2022.1.1,Win32,60.13229104
1.104868914,6.6583,-0.505617978,8.2023,0,21,21,31,1,60_ad52063167538de24f94d7dfd04808cb94cf8f426c40871d2f126505_bw.jpg,2.158732,0.0,blackwhite,vamo24,2022-05-05_14h33.07.365,ratings,2022.1.1,Win32,60.13229104
-1.189138577,9.2247,-0.31835206,5.4044,0,22,22,377,1,620_9674719009d75dcfeaed7f15932c43e1fd1af5e25d47b8aadd61efe2_circblurext.jpg,-0.561364,1.142084,circularblurringext,vamo24,2022-05-05_14h33.07.365,ratings,2022.1.1,Win32,60.13229104
